GEOID,nw_d,moe_nw_d,cv_nw_d,cat_nw_d
34007603100,0.45317060228177236,0.18145956135886854,0.24341773978402206,Medium
34007603601,0.17274526434831777,0.0844231654285391,0.29709105718438833,Medium
34007603800,0.10597876699571615,0.053611456020491575,0.30751962582894243,Medium
34007601500,0.9597981204316046,0.38005427446473034,0.24071315435100626,Medium
34007604400,0.17402672864613597,0.077436691487225,0.27049854326514655,Medium
34007605100,0.042043399638336344,0.09142095811507048,1.321849588852083,Low
34007603400,0.40852819807427787,0.20182404857151875,0.30032049637508645,Medium
34007603505,0.3087729357798165,0.13253270772973233,0.2609263515175309,Medium
34007603506,0.28695506931685316,0.12228193585863747,0.25904934697717447,Medium
34007601800,0.902,0.3662638398895892,0.24684344812243594,Medium
34007603504,0.22271880819366852,0.0839230018613763,0.22906472435758035,Medium
34007603603,0.13519406890536415,0.05181981256203236,0.2330087855765079,Medium
34007606100,0.08344549125168237,0.07771432223761622,0.5661510091435322,Low
34007606300,0.08845514950166113,0.03048956136285931,0.2095376907166837,Medium
34007606500,0.957147754542338,0.3592730382017729,0.2281811368204796,Medium
34007606800,0.2861364857603439,0.13061626117608754,0.2774968814860213,Medium
34007607504,0.2077226606538895,0.09926081772611345,0.2904879151841653,Medium
34007607600,0.0961978928080623,0.04681162713255664,0.2958164192513276,Medium
34007609204,0.8990615701533532,0.35760787317680715,0.24179746035159783,Medium
34007601400,0.9506890611541774,0.37548624811711245,0.2400986050258163,Medium
34007603700,0.3031718711581018,0.12634383262746715,0.2533373600336782,Medium
34007607300,0.2948955916473318,0.13050796984636,0.2690313254230145,Medium
34007603200,0.31513903192584963,0.12715031178500336,0.24527276703664952,Medium
34007603302,0.2998535871156662,0.10767635138600667,0.21829569955310413,Medium
34007609202,0.8249123530624871,0.34057966818331586,0.2509834059302278,Medium
34007603602,0.1244717633499808,0.0549579027805283,0.26840673371930496,Medium
34005702801,0.8918406072106262,0.33909081155943227,0.23113348986848709,Medium
34005702208,0.3428402541746712,0.1443930966783921,0.256028740494361,Medium
34005702601,0.3023860146468226,0.12380776731557477,0.24889735896980816,Medium
34005702700,0.44856815578465065,0.1827674051071353,0.24768767934920427,Medium
34005702806,0.8192837465564738,0.3447273642681732,0.25578526199575014,Medium
34005702809,0.8410230692076228,0.3155248136152888,0.22806556009841203,Medium
34005702909,0.3055936595031245,0.12443661565444251,0.24753576099532246,Medium
34005702910,0.23355325164938737,0.087840135485413,0.22863419060381374,Medium
34005703201,0.09502141327623126,0.07303483322589144,0.4672428390460729,Low
34005704004,0.21011673151750973,0.08841868550670016,0.2558099985953162,Medium
34005704009,0.18566775244299674,0.06780828038315319,0.22201399325577806,Medium
34005704011,0.1037037037037037,0.04751462530836293,0.2785268960759442,Medium
34005700103,0.25684678016284235,0.11441601812210642,0.2707988411008221,Medium
34005701104,0.5103615520282186,0.23126612030013508,0.2754661016579891,Medium
34005704013,0.19701606732976282,0.08549292924659861,0.26379262496014255,Medium
34005700306,0.09188973232121454,0.06930105528725841,0.4584658157367723,Low
34005704007,0.10131926121372031,0.020438505337932338,0.12262844356440535,Medium
34005700701,0.2972060178077986,0.14606987590442622,0.2987701184535633,Medium
34005701502,0.226231956197113,0.08315774297801373,0.22345127668646808,Medium
34005703900,0.044171779141104296,0.039168331794763506,0.5390440799178023,Low
34007608904,0.06408450704225352,0.08413483099170722,0.7980992017650841,Low
34007601101,0.950196196800483,0.3871890574810181,0.24771019713092562,Medium
34015502001,0.061431714334066675,0.01002212882209734,0.09917482513966387,High
34015501609,0.3623113854595336,0.1585094511175586,0.26595446020728586,Medium
34015501405,0.300730250055322,0.12386466253254293,0.2503827505852289,Medium
